customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,MonthlyCostPerService
7590-VHVEG,Female,0,1,0,1,0,No phone service,No,Yes,No,No,No,No,1,29.85,29.85,0,False,False,False,True,False,False,False,14.925
5575-GNVDE,Male,0,0,0,34,1,No,Yes,No,Yes,No,No,No,0,56.95,1889.5,0,False,False,False,False,True,True,False,1.6271428571428572
3668-QPYBK,Male,0,0,0,2,1,No,Yes,Yes,No,No,No,No,1,53.85,108.15,1,False,False,False,False,True,False,False,17.95
7795-CFOCW,Male,0,0,0,45,0,No phone service,Yes,No,Yes,Yes,No,No,0,42.3,1840.75,0,False,False,False,False,False,True,False,0.9195652173913043
9237-HQITU,Female,0,0,0,2,1,No,No,No,No,No,No,No,1,70.7,151.65,1,True,False,False,True,False,False,False,23.566666666666666
9305-CDSKC,Female,0,0,0,8,1,Yes,No,No,Yes,No,Yes,Yes,1,99.65,820.5,1,True,False,False,True,False,False,False,11.072222222222223
1452-KIOVK,Male,0,0,1,22,1,Yes,No,Yes,No,No,Yes,No,1,89.1,1949.4,0,True,False,True,False,False,False,False,3.8739130434782605
6713-OKOMC,Female,0,0,0,10,0,No phone service,Yes,No,No,No,No,No,0,29.75,301.9,0,False,False,False,False,True,False,False,2.7045454545454546
7892-POOKP,Female,0,1,0,28,1,Yes,No,No,Yes,Yes,Yes,Yes,1,104.8,3046.05,1,True,False,False,True,False,False,False,3.613793103448276
6388-TABGU,Male,0,0,1,62,1,No,Yes,Yes,No,No,No,No,0,56.15,3487.95,0,False,False,False,False,False,True,False,0.8912698412698412
9763-GRSKD,Male,0,1,1,13,1,No,Yes,No,No,No,No,No,1,49.95,587.45,0,False,False,False,False,True,False,False,3.567857142857143
7469-LKBCI,Male,0,0,0,16,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,18.95,326.8,0,False,True,True,False,False,False,True,1.1147058823529412
8091-TTVAX,Male,0,1,0,58,1,Yes,No,No,Yes,No,Yes,Yes,0,100.35,5681.1,0,True,False,True,False,False,True,False,1.7008474576271186
0280-XJGEX,Male,0,0,0,49,1,Yes,No,Yes,Yes,No,Yes,Yes,1,103.7,5036.3,1,True,False,False,False,False,False,False,2.074
5129-JLPIS,Male,0,0,0,25,1,No,Yes,No,Yes,Yes,Yes,Yes,1,105.5,2686.05,0,True,False,False,True,False,False,False,4.0576923076923075
3655-SNQYZ,Female,0,1,1,69,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,113.25,7895.15,0,True,False,True,False,False,False,True,1.6178571428571429
8191-XWSZG,Female,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1022.95,0,False,True,False,False,True,True,False,0.38962264150943393
9959-WOFKT,Male,0,0,1,71,1,Yes,Yes,No,Yes,No,Yes,Yes,0,106.7,7382.25,0,True,False,False,False,False,False,True,1.4819444444444445
4190-MFLUW,Female,0,1,1,10,1,No,No,No,Yes,Yes,No,No,0,55.2,528.35,1,False,False,True,False,False,False,False,5.0181818181818185
4183-MYFRB,Female,0,0,0,21,1,No,No,Yes,Yes,No,No,Yes,1,90.05,1862.9,0,True,False,False,True,False,False,False,4.093181818181818
8779-QRDMV,Male,1,0,0,1,0,No phone service,No,No,Yes,No,No,Yes,1,39.65,39.65,1,False,False,False,True,False,False,False,19.825
1680-VDCWW,Male,0,1,0,12,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.8,202.25,0,False,True,False,False,False,True,False,1.5230769230769232
1066-JKSGK,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,20.15,1,False,True,False,False,True,False,False,10.075
3638-WEABW,Female,0,1,0,58,1,Yes,No,Yes,No,Yes,No,No,1,59.9,3505.1,0,False,False,True,False,False,False,True,1.0152542372881355
6322-HRPFA,Male,0,1,1,49,1,No,Yes,Yes,No,Yes,No,No,0,59.6,2970.3,0,False,False,True,False,False,False,False,1.192
6865-JZNKO,Female,0,0,0,30,1,No,Yes,Yes,No,No,No,No,1,55.3,1530.6,0,False,False,False,False,False,False,False,1.7838709677419353
6467-CHFZW,Male,0,1,1,47,1,Yes,No,Yes,No,No,Yes,Yes,1,99.35,4749.15,1,True,False,False,True,False,False,False,2.0697916666666667
8665-UTDHZ,Male,0,1,1,1,0,No phone service,No,Yes,No,No,No,No,0,30.2,30.2,1,False,False,False,True,False,False,False,15.1
5248-YGIJN,Male,0,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,90.25,6369.45,0,False,False,True,False,False,False,True,1.2363013698630136
8773-HHUOZ,Female,0,0,1,17,1,No,No,No,No,No,Yes,Yes,1,64.7,1093.1,1,False,False,False,False,True,False,False,3.5944444444444446
3841-NFECX,Female,1,1,0,71,1,Yes,Yes,Yes,Yes,Yes,No,No,1,96.35,6766.95,0,True,False,True,False,False,False,True,1.3381944444444445
